,ADC channel,average,error
0,-495.0,2.3333333333333335,1.3333333333333335
1,-485.0,1.3333333333333333,0.6666666666666667
2,-475.0,0.6666666666666666,1.3333333333333335
3,-465.0,0.6666666666666666,0.6666666666666666
4,-455.0,0.6666666666666666,1.3333333333333335
5,-445.0,1.0,1.0
6,-435.0,0.3333333333333333,0.6666666666666667
7,-425.0,1.0,1.0
8,-415.0,0.3333333333333333,0.6666666666666667
9,-405.0,1.3333333333333333,2.666666666666667
10,-395.0,1.0,1.0
11,-385.0,1.3333333333333333,1.3333333333333333
12,-375.0,0.3333333333333333,0.6666666666666667
13,-365.0,0.3333333333333333,0.6666666666666667
14,-355.0,0.6666666666666666,0.6666666666666666
15,-345.0,0.6666666666666666,0.6666666666666666
16,-335.0,0.6666666666666666,1.3333333333333335
17,-325.0,0.0,0.0
18,-315.0,1.0,1.0
19,-305.0,0.3333333333333333,0.6666666666666667
20,-295.0,1.0,1.0
21,-285.0,1.3333333333333333,1.3333333333333333
22,-275.0,0.0,0.0
23,-265.0,0.0,0.0
24,-255.0,0.0,0.0
25,-245.0,0.6666666666666666,1.3333333333333335
26,-235.0,1.0,1.0
27,-225.0,2.6666666666666665,1.3333333333333335
28,-215.0,2.0,1.0
29,-205.0,6.333333333333333,2.333333333333333
30,-195.0,10.666666666666666,3.333333333333334
31,-185.0,20.666666666666668,2.333333333333332
32,-175.0,32.333333333333336,10.333333333333336
33,-165.0,52.666666666666664,14.666666666666664
34,-155.0,95.0,18.0
35,-145.0,153.0,25.0
36,-135.0,238.33333333333334,29.666666666666657
37,-125.0,338.0,25.0
38,-115.0,449.6666666666667,55.666666666666686
39,-105.0,635.0,48.0
40,-95.0,828.6666666666666,25.66666666666663
41,-85.0,1017.0,52.0
42,-75.0,1171.3333333333333,57.33333333333326
43,-65.0,1355.0,67.0
44,-55.0,1563.0,102.0
45,-45.0,1653.3333333333333,115.66666666666674
46,-35.0,1774.3333333333333,125.33333333333326
47,-25.0,1791.0,151.0
48,-15.0,1824.0,111.0
49,-5.0,1795.3333333333333,185.33333333333326
50,5.0,1744.6666666666667,208.66666666666674
51,15.0,1649.3333333333333,216.66666666666674
52,25.0,1460.3333333333333,193.66666666666674
53,35.0,1313.3333333333333,157.66666666666674
54,45.0,1117.3333333333333,169.66666666666674
55,55.0,940.3333333333334,112.66666666666663
56,65.0,813.6666666666666,142.66666666666663
57,75.0,647.6666666666666,116.66666666666663
58,85.0,535.3333333333334,117.66666666666663
59,95.0,411.6666666666667,80.33333333333331
60,105.0,364.3333333333333,49.333333333333314
61,115.0,315.6666666666667,41.333333333333314
62,125.0,278.3333333333333,33.333333333333314
63,135.0,271.3333333333333,29.666666666666686
64,145.0,237.0,19.0
65,155.0,251.0,11.0
66,165.0,281.0,37.0
67,175.0,273.6666666666667,11.666666666666686
68,185.0,280.0,16.0
69,195.0,298.6666666666667,14.333333333333314
70,205.0,302.6666666666667,14.666666666666686
71,215.0,317.3333333333333,25.666666666666686
72,225.0,330.0,17.0
73,235.0,355.6666666666667,13.666666666666686
74,245.0,389.0,10.0
75,255.0,377.0,3.0
76,265.0,416.6666666666667,3.6666666666666856
77,275.0,429.3333333333333,36.666666666666686
78,285.0,443.6666666666667,7.333333333333314
79,295.0,454.6666666666667,10.333333333333314
80,305.0,473.6666666666667,37.666666666666686
81,315.0,484.3333333333333,17.666666666666686
82,325.0,539.0,49.0
83,335.0,558.6666666666666,45.66666666666663
84,345.0,589.3333333333334,28.33333333333337
85,355.0,595.3333333333334,54.66666666666663
86,365.0,647.3333333333334,50.33333333333337
