,ADC channel,average,error
216,1665.0,741.0,16.0
217,1675.0,792.0,16.0
218,1685.0,798.0,62.0
219,1695.0,793.0,25.0
220,1705.0,823.5,47.5
221,1715.0,813.0,27.0
222,1725.0,884.5,10.5
223,1735.0,896.0,27.0
224,1745.0,854.0,32.0
225,1755.0,862.5,14.5
226,1765.0,919.5,0.5
227,1775.0,913.5,11.5
228,1785.0,897.0,9.0
229,1795.0,922.5,13.5
230,1805.0,902.0,10.0
231,1815.0,879.5,8.5
232,1825.0,853.5,47.5
233,1835.0,865.5,39.5
234,1845.0,803.5,10.5
235,1855.0,807.0,5.0
236,1865.0,793.0,14.0
237,1875.0,790.0,12.0
238,1885.0,705.5,34.5
239,1895.0,710.0,25.0
240,1905.0,679.5,9.5
241,1915.0,667.5,12.5
242,1925.0,617.5,12.5
243,1935.0,605.5,17.5
244,1945.0,531.0,9.0
245,1955.0,532.0,24.0
246,1965.0,483.0,2.0
247,1975.0,460.0,2.0
248,1985.0,430.5,21.5
249,1995.0,421.5,2.5
250,2005.0,381.5,5.5
251,2015.0,358.0,15.0
252,2025.0,359.5,19.5
253,2035.0,325.0,8.0
254,2045.0,307.0,10.0
255,2055.0,288.0,4.0
256,2065.0,267.5,10.5
257,2075.0,249.5,1.5
258,2085.0,220.0,10.0
259,2095.0,224.5,1.5
260,2105.0,222.0,22.0
261,2115.0,193.0,13.0
262,2125.0,181.5,4.5
263,2135.0,172.5,4.5
264,2145.0,175.0,8.0
265,2155.0,152.5,26.5
266,2165.0,152.0,11.0
267,2175.0,125.0,5.0
268,2185.0,135.0,17.0
269,2195.0,127.0,10.0
270,2205.0,113.5,4.5
271,2215.0,110.5,7.5
272,2225.0,106.5,6.5
273,2235.0,102.5,4.5
274,2245.0,95.5,17.5
275,2255.0,87.0,7.0
276,2265.0,80.5,6.5
277,2275.0,70.5,5.5
278,2285.0,71.0,2.0
279,2295.0,63.5,4.5
280,2305.0,53.5,2.5
281,2315.0,46.5,1.5
282,2325.0,45.5,3.5
283,2335.0,35.0,2.0
284,2345.0,32.5,4.5
285,2355.0,42.5,0.5
286,2365.0,40.5,5.5
287,2375.0,27.5,4.5
288,2385.0,26.5,4.5
289,2395.0,25.0,5.0
290,2405.0,18.5,1.5
291,2415.0,24.0,1.0
292,2425.0,17.0,2.0
293,2435.0,17.5,5.5
294,2445.0,13.0,2.0
295,2455.0,12.0,3.0
296,2465.0,8.5,0.5
297,2475.0,8.0,2.0
298,2485.0,9.0,1.0
299,2495.0,5.5,0.5
300,2505.0,8.5,0.5
301,2515.0,2.5,0.5
302,2525.0,6.5,2.5
303,2535.0,2.5,1.5
304,2545.0,3.5,1.5
305,2555.0,2.0,2.0
306,2565.0,3.5,0.5
307,2575.0,3.5,0.5
308,2585.0,2.5,1.5
309,2595.0,2.5,0.5
310,2605.0,2.0,1.0
311,2615.0,1.0,0.0
312,2625.0,2.5,0.5
313,2635.0,0.5,0.5
314,2645.0,2.5,0.5
315,2655.0,1.0,0.0
316,2665.0,2.5,1.5
317,2675.0,2.0,0.0
318,2685.0,1.0,1.0
319,2695.0,1.5,0.5
320,2705.0,1.0,0.0
321,2715.0,2.5,0.5
322,2725.0,1.5,0.5
323,2735.0,2.0,0.0
324,2745.0,1.0,0.0
325,2755.0,1.0,1.0
326,2765.0,0.5,0.5
327,2775.0,1.0,1.0
328,2785.0,1.5,0.5
329,2795.0,2.5,2.5
330,2805.0,1.5,0.5
331,2815.0,1.5,0.5
332,2825.0,2.0,1.0
333,2835.0,1.0,1.0
334,2845.0,1.0,1.0
335,2855.0,2.0,1.0
336,2865.0,1.0,0.0
337,2875.0,2.0,0.0
338,2885.0,0.5,0.5
339,2895.0,1.5,0.5
340,2905.0,1.5,1.5
341,2915.0,1.5,1.5
342,2925.0,1.0,1.0
343,2935.0,2.0,1.0
344,2945.0,1.5,0.5
345,2955.0,1.0,1.0
346,2965.0,1.0,1.0
347,2975.0,0.5,0.5
348,2985.0,0.0,0.0
349,2995.0,1.5,0.5
350,3005.0,2.0,1.0
351,3015.0,1.5,0.5
352,3025.0,1.0,1.0
353,3035.0,1.5,0.5
354,3045.0,3.5,0.5
355,3055.0,2.5,0.5
356,3065.0,0.5,0.5
357,3075.0,1.0,1.0
358,3085.0,0.5,0.5
359,3095.0,2.5,0.5
360,3105.0,1.5,1.5
361,3115.0,0.5,0.5
362,3125.0,1.5,1.5
363,3135.0,0.5,0.5
364,3145.0,2.0,1.0
365,3155.0,1.0,1.0
366,3165.0,0.5,0.5
367,3175.0,0.5,0.5
368,3185.0,1.0,0.0
369,3195.0,1.0,1.0
370,3205.0,1.0,0.0
371,3215.0,1.5,1.5
372,3225.0,1.0,0.0
373,3235.0,2.0,1.0
374,3245.0,0.0,0.0
375,3255.0,0.0,0.0
376,3265.0,1.0,1.0
377,3275.0,1.5,0.5
378,3285.0,0.0,0.0
379,3295.0,0.5,0.5
380,3305.0,1.0,0.0
381,3315.0,1.0,0.0
382,3325.0,0.5,0.5
383,3335.0,1.5,0.5
384,3345.0,1.0,1.0
385,3355.0,1.5,0.5
386,3365.0,0.5,0.5
387,3375.0,0.0,0.0
388,3385.0,1.5,0.5
389,3395.0,0.0,0.0
390,3405.0,1.0,0.0
391,3415.0,0.5,0.5
392,3425.0,1.0,0.0
393,3435.0,1.0,1.0
394,3445.0,2.0,1.0
395,3455.0,0.0,0.0
396,3465.0,1.5,0.5
397,3475.0,0.0,0.0
398,3485.0,0.5,0.5
399,3495.0,0.0,0.0
400,3505.0,1.5,0.5
401,3515.0,1.0,0.0
402,3525.0,0.5,0.5
403,3535.0,1.0,1.0
404,3545.0,1.0,0.0
405,3555.0,0.5,0.5
406,3565.0,0.5,0.5
407,3575.0,0.0,0.0
408,3585.0,1.0,1.0
409,3595.0,1.5,0.5
410,3605.0,2.0,0.0
411,3615.0,1.0,0.0
412,3625.0,0.5,0.5
413,3635.0,0.5,0.5
414,3645.0,0.5,0.5
415,3655.0,1.0,0.0
416,3665.0,0.0,0.0
417,3675.0,1.0,1.0
418,3685.0,1.0,0.0
419,3695.0,0.0,0.0
420,3705.0,0.5,0.5
421,3715.0,1.0,0.0
422,3725.0,1.0,1.0
423,3735.0,0.5,0.5
424,3745.0,1.0,0.0
425,3755.0,0.5,0.5
426,3765.0,0.5,0.5
427,3775.0,0.5,0.5
428,3785.0,0.0,0.0
429,3795.0,0.5,0.5
430,3805.0,0.0,0.0
431,3815.0,0.0,0.0
432,3825.0,0.0,0.0
433,3835.0,0.0,0.0
434,3845.0,0.0,0.0
435,3855.0,0.0,0.0
436,3865.0,0.5,0.5
437,3875.0,0.0,0.0
438,3885.0,0.0,0.0
439,3895.0,0.0,0.0
440,3905.0,1.5,0.5
441,3915.0,0.5,0.5
442,3925.0,0.0,0.0
443,3935.0,0.0,0.0
444,3945.0,0.5,0.5
445,3955.0,0.0,0.0
446,3965.0,0.0,0.0
447,3975.0,0.0,0.0
448,3985.0,0.0,0.0
449,3995.0,0.5,0.5
450,4005.0,0.0,0.0
451,4015.0,0.0,0.0
452,4025.0,0.0,0.0
453,4035.0,0.0,0.0
454,4045.0,0.0,0.0
455,4055.0,0.0,0.0
456,4065.0,0.0,0.0
457,4075.0,0.0,0.0
458,4085.0,0.0,0.0
459,4095.0,0.0,0.0
460,4105.0,0.0,0.0
461,4115.0,0.0,0.0
462,4125.0,0.0,0.0
463,4135.0,0.0,0.0
464,4145.0,0.0,0.0
465,4155.0,0.0,0.0
466,4165.0,0.0,0.0
467,4175.0,0.0,0.0
468,4185.0,0.0,0.0
469,4195.0,0.0,0.0
470,4205.0,0.0,0.0
471,4215.0,0.0,0.0
472,4225.0,0.0,0.0
473,4235.0,0.0,0.0
474,4245.0,0.0,0.0
475,4255.0,0.0,0.0
476,4265.0,0.5,0.5
477,4275.0,0.0,0.0
478,4285.0,0.0,0.0
479,4295.0,0.0,0.0
480,4305.0,0.0,0.0
481,4315.0,0.0,0.0
482,4325.0,0.0,0.0
483,4335.0,0.5,0.5
484,4345.0,0.0,0.0
485,4355.0,0.0,0.0
486,4365.0,0.0,0.0
487,4375.0,0.0,0.0
488,4385.0,0.0,0.0
489,4395.0,0.0,0.0
490,4405.0,0.0,0.0
491,4415.0,0.0,0.0
492,4425.0,0.0,0.0
493,4435.0,0.0,0.0
494,4445.0,0.0,0.0
495,4455.0,0.0,0.0
496,4465.0,0.0,0.0
497,4475.0,0.0,0.0
498,4485.0,0.0,0.0
499,4495.0,0.0,0.0
500,4505.0,0.0,0.0
501,4515.0,0.0,0.0
502,4525.0,0.0,0.0
503,4535.0,0.0,0.0
504,4545.0,0.0,0.0
505,4555.0,0.0,0.0
506,4565.0,0.0,0.0
507,4575.0,0.0,0.0
508,4585.0,0.0,0.0
509,4595.0,0.0,0.0
510,4605.0,0.0,0.0
511,4615.0,0.0,0.0
512,4625.0,0.0,0.0
513,4635.0,0.0,0.0
514,4645.0,0.0,0.0
515,4655.0,0.0,0.0
516,4665.0,0.0,0.0
517,4675.0,0.0,0.0
518,4685.0,0.0,0.0
519,4695.0,0.0,0.0
520,4705.0,0.0,0.0
521,4715.0,0.0,0.0
522,4725.0,0.0,0.0
523,4735.0,0.0,0.0
524,4745.0,0.0,0.0
525,4755.0,0.0,0.0
526,4765.0,0.0,0.0
527,4775.0,0.0,0.0
528,4785.0,0.0,0.0
529,4795.0,0.0,0.0
530,4805.0,0.0,0.0
531,4815.0,0.0,0.0
532,4825.0,0.0,0.0
533,4835.0,0.0,0.0
534,4845.0,0.0,0.0
535,4855.0,0.0,0.0
536,4865.0,0.0,0.0
537,4875.0,0.0,0.0
538,4885.0,0.0,0.0
539,4895.0,0.0,0.0
540,4905.0,0.0,0.0
541,4915.0,0.0,0.0
542,4925.0,0.0,0.0
543,4935.0,0.0,0.0
544,4945.0,0.0,0.0
545,4955.0,0.0,0.0
546,4965.0,0.0,0.0
547,4975.0,0.0,0.0
548,4985.0,0.0,0.0
549,4995.0,0.0,0.0
550,5005.0,0.0,0.0
551,5015.0,0.0,0.0
552,5025.0,0.0,0.0
553,5035.0,0.0,0.0
554,5045.0,0.0,0.0
555,5055.0,0.0,0.0
556,5065.0,0.0,0.0
557,5075.0,0.0,0.0
558,5085.0,0.0,0.0
559,5095.0,0.0,0.0
560,5105.0,0.0,0.0
561,5115.0,0.0,0.0
562,5125.0,0.0,0.0
563,5135.0,0.0,0.0
564,5145.0,0.0,0.0
565,5155.0,0.0,0.0
566,5165.0,0.0,0.0
567,5175.0,0.0,0.0
568,5185.0,0.0,0.0
569,5195.0,0.0,0.0
570,5205.0,0.0,0.0
571,5215.0,0.0,0.0
572,5225.0,0.0,0.0
573,5235.0,0.0,0.0
574,5245.0,0.0,0.0
575,5255.0,0.0,0.0
576,5265.0,0.0,0.0
577,5275.0,0.0,0.0
578,5285.0,0.0,0.0
579,5295.0,0.0,0.0
580,5305.0,0.0,0.0
581,5315.0,0.0,0.0
582,5325.0,0.0,0.0
583,5335.0,0.0,0.0
584,5345.0,0.0,0.0
585,5355.0,0.0,0.0
586,5365.0,0.0,0.0
587,5375.0,0.0,0.0
588,5385.0,0.5,0.5
589,5395.0,0.0,0.0
590,5405.0,0.0,0.0
591,5415.0,0.0,0.0
592,5425.0,0.0,0.0
593,5435.0,0.5,0.5
594,5445.0,0.0,0.0
595,5455.0,0.0,0.0
596,5465.0,0.0,0.0
597,5475.0,0.0,0.0
598,5485.0,0.0,0.0
599,5495.0,0.0,0.0
600,5505.0,0.0,0.0
601,5515.0,0.0,0.0
602,5525.0,0.0,0.0
603,5535.0,0.0,0.0
604,5545.0,0.0,0.0
605,5555.0,0.0,0.0
606,5565.0,0.0,0.0
607,5575.0,0.0,0.0
608,5585.0,0.0,0.0
609,5595.0,0.0,0.0
610,5605.0,0.0,0.0
611,5615.0,0.0,0.0
612,5625.0,0.0,0.0
613,5635.0,0.0,0.0
614,5645.0,0.0,0.0
615,5655.0,0.0,0.0
616,5665.0,0.0,0.0
617,5675.0,0.0,0.0
618,5685.0,0.0,0.0
619,5695.0,0.0,0.0
620,5705.0,0.0,0.0
621,5715.0,0.0,0.0
622,5725.0,0.0,0.0
623,5735.0,0.0,0.0
624,5745.0,0.0,0.0
625,5755.0,0.0,0.0
626,5765.0,0.0,0.0
627,5775.0,0.0,0.0
628,5785.0,0.0,0.0
629,5795.0,0.0,0.0
630,5805.0,0.0,0.0
631,5815.0,0.0,0.0
632,5825.0,0.0,0.0
633,5835.0,0.0,0.0
634,5845.0,0.0,0.0
635,5855.0,0.0,0.0
636,5865.0,0.0,0.0
637,5875.0,0.0,0.0
638,5885.0,0.0,0.0
639,5895.0,0.0,0.0
640,5905.0,0.0,0.0
641,5915.0,0.0,0.0
642,5925.0,0.0,0.0
643,5935.0,0.0,0.0
644,5945.0,0.0,0.0
645,5955.0,0.0,0.0
646,5965.0,0.0,0.0
647,5975.0,0.0,0.0
648,5985.0,0.0,0.0
649,5995.0,0.0,0.0
650,6005.0,0.0,0.0
651,6015.0,0.0,0.0
652,6025.0,0.0,0.0
653,6035.0,0.0,0.0
654,6045.0,0.0,0.0
655,6055.0,0.0,0.0
656,6065.0,0.0,0.0
657,6075.0,0.0,0.0
658,6085.0,0.0,0.0
659,6095.0,0.0,0.0
660,6105.0,0.0,0.0
661,6115.0,0.0,0.0
662,6125.0,0.0,0.0
663,6135.0,0.0,0.0
664,6145.0,0.0,0.0
665,6155.0,0.0,0.0
666,6165.0,0.0,0.0
667,6175.0,0.0,0.0
668,6185.0,0.0,0.0
669,6195.0,0.0,0.0
670,6205.0,0.0,0.0
671,6215.0,0.0,0.0
672,6225.0,0.0,0.0
673,6235.0,0.0,0.0
674,6245.0,0.0,0.0
675,6255.0,0.0,0.0
676,6265.0,0.0,0.0
677,6275.0,0.0,0.0
678,6285.0,0.0,0.0
679,6295.0,0.0,0.0
680,6305.0,0.5,0.5
681,6315.0,0.0,0.0
682,6325.0,0.0,0.0
683,6335.0,0.0,0.0
684,6345.0,0.0,0.0
685,6355.0,0.0,0.0
686,6365.0,0.0,0.0
687,6375.0,0.0,0.0
688,6385.0,0.0,0.0
689,6395.0,0.0,0.0
690,6405.0,0.0,0.0
691,6415.0,0.0,0.0
692,6425.0,0.0,0.0
693,6435.0,0.0,0.0
694,6445.0,0.0,0.0
695,6455.0,0.0,0.0
696,6465.0,0.0,0.0
697,6475.0,0.0,0.0
698,6485.0,0.0,0.0
699,6495.0,0.0,0.0
700,6505.0,0.0,0.0
701,6515.0,0.0,0.0
702,6525.0,0.0,0.0
703,6535.0,0.0,0.0
704,6545.0,0.0,0.0
705,6555.0,0.0,0.0
706,6565.0,0.0,0.0
707,6575.0,0.0,0.0
708,6585.0,0.0,0.0
709,6595.0,0.0,0.0
710,6605.0,0.0,0.0
711,6615.0,0.0,0.0
712,6625.0,0.0,0.0
713,6635.0,0.0,0.0
714,6645.0,0.0,0.0
715,6655.0,0.0,0.0
716,6665.0,0.0,0.0
717,6675.0,0.0,0.0
718,6685.0,0.0,0.0
719,6695.0,0.0,0.0
720,6705.0,0.0,0.0
721,6715.0,0.0,0.0
722,6725.0,0.0,0.0
723,6735.0,0.0,0.0
724,6745.0,0.0,0.0
725,6755.0,0.0,0.0
726,6765.0,0.0,0.0
727,6775.0,0.0,0.0
728,6785.0,0.0,0.0
729,6795.0,0.0,0.0
730,6805.0,0.0,0.0
731,6815.0,0.0,0.0
732,6825.0,0.0,0.0
733,6835.0,0.0,0.0
734,6845.0,0.0,0.0
735,6855.0,0.0,0.0
736,6865.0,0.0,0.0
737,6875.0,0.0,0.0
738,6885.0,0.0,0.0
739,6895.0,0.0,0.0
740,6905.0,0.0,0.0
741,6915.0,0.0,0.0
742,6925.0,0.0,0.0
743,6935.0,0.0,0.0
744,6945.0,0.0,0.0
745,6955.0,0.0,0.0
746,6965.0,0.0,0.0
747,6975.0,0.0,0.0
748,6985.0,0.0,0.0
749,6995.0,0.0,0.0
750,7005.0,0.0,0.0
751,7015.0,0.0,0.0
752,7025.0,0.0,0.0
753,7035.0,0.0,0.0
754,7045.0,0.0,0.0
755,7055.0,0.0,0.0
756,7065.0,0.0,0.0
757,7075.0,0.0,0.0
758,7085.0,0.0,0.0
759,7095.0,0.0,0.0
760,7105.0,0.0,0.0
761,7115.0,0.0,0.0
762,7125.0,0.0,0.0
763,7135.0,0.0,0.0
764,7145.0,0.0,0.0
765,7155.0,0.0,0.0
766,7165.0,0.0,0.0
767,7175.0,0.0,0.0
768,7185.0,0.0,0.0
769,7195.0,0.0,0.0
770,7205.0,0.0,0.0
771,7215.0,0.0,0.0
772,7225.0,0.0,0.0
773,7235.0,0.0,0.0
774,7245.0,0.0,0.0
775,7255.0,0.0,0.0
776,7265.0,0.0,0.0
777,7275.0,0.0,0.0
778,7285.0,0.0,0.0
779,7295.0,0.0,0.0
780,7305.0,0.0,0.0
781,7315.0,0.0,0.0
782,7325.0,0.0,0.0
783,7335.0,0.0,0.0
784,7345.0,0.0,0.0
785,7355.0,0.0,0.0
786,7365.0,0.0,0.0
787,7375.0,0.0,0.0
788,7385.0,0.0,0.0
789,7395.0,0.0,0.0
790,7405.0,0.0,0.0
791,7415.0,0.0,0.0
792,7425.0,0.0,0.0
793,7435.0,0.0,0.0
794,7445.0,0.0,0.0
795,7455.0,0.0,0.0
796,7465.0,0.0,0.0
797,7475.0,0.0,0.0
798,7485.0,0.0,0.0
799,7495.0,0.0,0.0
800,7505.0,0.0,0.0
801,7515.0,0.0,0.0
802,7525.0,0.0,0.0
803,7535.0,0.0,0.0
804,7545.0,0.0,0.0
805,7555.0,0.0,0.0
806,7565.0,0.0,0.0
807,7575.0,0.0,0.0
808,7585.0,0.0,0.0
809,7595.0,0.0,0.0
810,7605.0,0.0,0.0
811,7615.0,0.0,0.0
812,7625.0,0.0,0.0
813,7635.0,0.0,0.0
814,7645.0,0.0,0.0
815,7655.0,0.0,0.0
816,7665.0,0.0,0.0
817,7675.0,0.0,0.0
818,7685.0,0.0,0.0
819,7695.0,0.0,0.0
820,7705.0,0.0,0.0
821,7715.0,0.0,0.0
822,7725.0,0.0,0.0
823,7735.0,0.0,0.0
824,7745.0,0.0,0.0
825,7755.0,0.0,0.0
826,7765.0,0.0,0.0
827,7775.0,0.0,0.0
828,7785.0,0.0,0.0
829,7795.0,0.0,0.0
830,7805.0,0.0,0.0
831,7815.0,0.0,0.0
832,7825.0,0.0,0.0
833,7835.0,0.0,0.0
834,7845.0,0.0,0.0
835,7855.0,0.0,0.0
836,7865.0,0.0,0.0
837,7875.0,0.0,0.0
