,ADC channel,average,error
0,-495.0,0.0,0.0
1,-485.0,0.0,0.0
2,-475.0,0.0,0.0
3,-465.0,0.3333333333333333,0.6666666666666667
4,-455.0,0.0,0.0
5,-445.0,0.0,0.0
6,-435.0,0.0,0.0
7,-425.0,0.0,0.0
8,-415.0,0.0,0.0
9,-405.0,0.0,0.0
10,-395.0,0.0,0.0
11,-385.0,0.3333333333333333,0.6666666666666667
12,-375.0,0.0,0.0
13,-365.0,0.0,0.0
14,-355.0,0.0,0.0
15,-345.0,0.3333333333333333,0.6666666666666667
16,-335.0,0.0,0.0
17,-325.0,0.0,0.0
18,-315.0,0.0,0.0
19,-305.0,0.0,0.0
20,-295.0,0.0,0.0
21,-285.0,0.0,0.0
22,-275.0,0.0,0.0
23,-265.0,0.0,0.0
24,-255.0,0.0,0.0
25,-245.0,0.0,0.0
26,-235.0,0.0,0.0
27,-225.0,0.3333333333333333,0.6666666666666667
28,-215.0,0.0,0.0
29,-205.0,0.3333333333333333,0.6666666666666667
30,-195.0,0.0,0.0
31,-185.0,0.3333333333333333,0.6666666666666667
32,-175.0,2.3333333333333335,1.3333333333333335
33,-165.0,1.3333333333333333,0.6666666666666667
34,-155.0,5.333333333333333,2.333333333333333
35,-145.0,8.0,3.0
36,-135.0,17.0,5.0
37,-125.0,25.0,3.0
38,-115.0,38.666666666666664,20.333333333333336
39,-105.0,61.0,21.0
40,-95.0,84.33333333333333,10.333333333333329
41,-85.0,112.33333333333333,29.33333333333333
42,-75.0,148.66666666666666,44.66666666666666
43,-65.0,166.66666666666666,36.33333333333334
44,-55.0,220.66666666666666,65.33333333333334
45,-45.0,268.6666666666667,45.333333333333314
46,-35.0,308.6666666666667,62.333333333333314
47,-25.0,333.3333333333333,91.66666666666669
48,-15.0,344.3333333333333,94.66666666666669
49,-5.0,383.3333333333333,58.666666666666686
50,5.0,404.0,85.0
51,15.0,375.3333333333333,109.66666666666669
52,25.0,413.6666666666667,90.33333333333331
53,35.0,375.3333333333333,61.666666666666686
54,45.0,342.3333333333333,65.66666666666669
55,55.0,310.0,87.0
56,65.0,317.6666666666667,68.66666666666669
57,75.0,263.0,65.0
58,85.0,238.0,36.0
59,95.0,228.0,44.0
60,105.0,175.33333333333334,26.333333333333343
61,115.0,174.33333333333334,27.666666666666657
62,125.0,170.33333333333334,15.666666666666657
63,135.0,149.0,10.0
64,145.0,124.33333333333333,16.33333333333333
65,155.0,154.0,7.0
66,165.0,145.0,26.0
67,175.0,122.66666666666667,13.666666666666671
68,185.0,156.0,7.0
69,195.0,151.0,28.0
70,205.0,146.66666666666666,8.333333333333343
71,215.0,149.33333333333334,19.666666666666657
72,225.0,152.33333333333334,12.666666666666657
73,235.0,129.0,7.0
74,245.0,146.33333333333334,16.666666666666657
75,255.0,134.66666666666666,6.333333333333343
76,265.0,156.66666666666666,11.666666666666657
77,275.0,148.33333333333334,6.666666666666657
78,285.0,166.66666666666666,13.666666666666657
79,295.0,155.0,7.0
80,305.0,142.66666666666666,7.666666666666657
81,315.0,154.33333333333334,9.666666666666657
82,325.0,143.66666666666666,5.333333333333343
83,335.0,148.0,9.0
84,345.0,152.66666666666666,8.666666666666657
85,355.0,145.66666666666666,4.333333333333343
86,365.0,146.66666666666666,12.666666666666657
87,375.0,164.33333333333334,15.333333333333343
88,385.0,147.66666666666666,11.333333333333343
89,395.0,150.33333333333334,16.666666666666657
90,405.0,148.66666666666666,11.333333333333343
91,415.0,165.33333333333334,6.333333333333343
92,425.0,158.66666666666666,17.666666666666657
93,435.0,146.0,11.0
94,445.0,148.0,21.0
95,455.0,147.33333333333334,8.333333333333343
96,465.0,167.66666666666666,11.666666666666657
97,475.0,160.33333333333334,5.666666666666657
98,485.0,158.0,14.0
99,495.0,175.33333333333334,28.333333333333343
100,505.0,164.66666666666666,16.666666666666657
101,515.0,168.66666666666666,18.666666666666657
102,525.0,172.66666666666666,6.666666666666657
103,535.0,177.33333333333334,13.333333333333343
104,545.0,179.66666666666666,16.666666666666657
105,555.0,188.33333333333334,8.666666666666657
106,565.0,181.33333333333334,12.333333333333343
107,575.0,201.0,13.0
108,585.0,191.0,12.0
109,595.0,186.0,3.0
110,605.0,193.66666666666666,20.666666666666657
111,615.0,210.0,8.0
112,625.0,199.66666666666666,17.666666666666657
113,635.0,206.0,10.0
114,645.0,209.0,14.0
115,655.0,192.0,33.0
116,665.0,196.0,5.0
117,675.0,193.33333333333334,3.666666666666657
118,685.0,188.0,9.0
119,695.0,192.33333333333334,7.666666666666657
120,705.0,196.66666666666666,11.333333333333343
121,715.0,200.0,5.0
122,725.0,191.33333333333334,16.666666666666657
123,735.0,187.33333333333334,8.666666666666657
124,745.0,173.33333333333334,11.333333333333343
125,755.0,175.66666666666666,11.333333333333343
126,765.0,180.0,11.0
127,775.0,167.66666666666666,15.666666666666657
128,785.0,156.66666666666666,6.333333333333343
129,795.0,162.0,8.0
130,805.0,156.33333333333334,16.333333333333343
131,815.0,153.33333333333334,1.3333333333333428
132,825.0,155.66666666666666,7.333333333333343
133,835.0,161.0,3.0
134,845.0,131.33333333333334,1.6666666666666572
135,855.0,130.33333333333334,12.333333333333343
136,865.0,134.66666666666666,3.666666666666657
137,875.0,138.0,12.0
138,885.0,138.66666666666666,8.333333333333343
139,895.0,135.66666666666666,0.6666666666666572
140,905.0,146.66666666666666,7.666666666666657
141,915.0,142.33333333333334,9.333333333333343
142,925.0,128.33333333333334,5.666666666666657
143,935.0,129.0,3.0
144,945.0,126.33333333333333,10.333333333333329
145,955.0,135.66666666666666,6.666666666666657
146,965.0,131.33333333333334,4.666666666666657
147,975.0,123.0,25.0
148,985.0,135.33333333333334,16.333333333333343
149,995.0,139.33333333333334,6.666666666666657
150,1005.0,132.0,4.0
151,1015.0,139.33333333333334,11.666666666666657
152,1025.0,135.0,18.0
153,1035.0,121.66666666666667,12.333333333333329
154,1045.0,129.33333333333334,7.666666666666657
155,1055.0,136.66666666666666,6.666666666666657
156,1065.0,127.66666666666667,3.3333333333333286
157,1075.0,131.0,21.0
158,1085.0,133.66666666666666,20.333333333333343
159,1095.0,133.33333333333334,10.333333333333343
160,1105.0,139.66666666666666,10.666666666666657
161,1115.0,130.66666666666666,7.666666666666657
162,1125.0,142.66666666666666,12.666666666666657
163,1135.0,129.0,5.0
164,1145.0,133.33333333333334,13.333333333333343
165,1155.0,143.0,11.0
166,1165.0,141.66666666666666,5.333333333333343
167,1175.0,131.66666666666666,14.333333333333343
168,1185.0,135.66666666666666,17.666666666666657
169,1195.0,134.66666666666666,16.333333333333343
170,1205.0,153.66666666666666,12.333333333333343
171,1215.0,147.33333333333334,27.666666666666657
172,1225.0,139.0,5.0
173,1235.0,144.33333333333334,8.666666666666657
174,1245.0,140.66666666666666,15.666666666666657
175,1255.0,134.66666666666666,11.333333333333343
176,1265.0,139.33333333333334,3.333333333333343
177,1275.0,156.66666666666666,7.333333333333343
178,1285.0,152.0,10.0
179,1295.0,140.0,8.0
180,1305.0,155.66666666666666,18.666666666666657
181,1315.0,135.33333333333334,20.333333333333343
182,1325.0,154.66666666666666,26.333333333333343
183,1335.0,134.0,6.0
184,1345.0,155.33333333333334,23.666666666666657
185,1355.0,143.33333333333334,10.333333333333343
186,1365.0,134.33333333333334,19.666666666666657
187,1375.0,138.66666666666666,8.333333333333343
188,1385.0,148.66666666666666,7.333333333333343
189,1395.0,132.0,2.0
190,1405.0,140.33333333333334,16.666666666666657
191,1415.0,150.66666666666666,21.333333333333343
192,1425.0,152.0,8.0
193,1435.0,139.66666666666666,5.333333333333343
194,1445.0,138.66666666666666,20.666666666666657
195,1455.0,150.33333333333334,13.333333333333343
196,1465.0,154.66666666666666,16.333333333333343
197,1475.0,153.0,7.0
198,1485.0,151.0,10.0
199,1495.0,154.66666666666666,14.333333333333343
200,1505.0,138.66666666666666,11.666666666666657
201,1515.0,143.33333333333334,4.666666666666657
202,1525.0,156.33333333333334,16.666666666666657
