,ADC channel,average,error
0,-495.0,0.0,0.0
1,-485.0,0.0,0.0
2,-475.0,0.0,0.0
3,-465.0,0.0,0.0
4,-455.0,0.0,0.0
5,-445.0,0.0,0.0
6,-435.0,0.0,0.0
7,-425.0,0.0,0.0
8,-415.0,0.0,0.0
9,-405.0,0.0,0.0
10,-395.0,0.0,0.0
11,-385.0,0.0,0.0
12,-375.0,0.0,0.0
13,-365.0,0.3333333333333333,0.6666666666666667
14,-355.0,0.0,0.0
15,-345.0,0.0,0.0
16,-335.0,0.0,0.0
17,-325.0,0.3333333333333333,0.6666666666666667
18,-315.0,0.0,0.0
19,-305.0,0.0,0.0
20,-295.0,0.0,0.0
21,-285.0,0.0,0.0
22,-275.0,0.6666666666666666,0.6666666666666666
23,-265.0,0.3333333333333333,0.6666666666666667
24,-255.0,0.3333333333333333,0.6666666666666667
25,-245.0,0.6666666666666666,1.3333333333333335
26,-235.0,2.0,0.0
27,-225.0,3.3333333333333335,2.6666666666666665
28,-215.0,3.6666666666666665,1.6666666666666665
29,-205.0,6.0,5.0
30,-195.0,16.666666666666668,4.666666666666668
31,-185.0,17.0,8.0
32,-175.0,36.0,5.0
33,-165.0,59.666666666666664,2.6666666666666643
34,-155.0,76.66666666666667,21.66666666666667
35,-145.0,129.66666666666666,24.666666666666657
36,-135.0,216.33333333333334,36.33333333333334
37,-125.0,306.6666666666667,32.666666666666686
38,-115.0,405.6666666666667,57.666666666666686
39,-105.0,551.0,96.0
40,-95.0,757.6666666666666,166.66666666666663
41,-85.0,911.0,149.0
42,-75.0,1114.3333333333333,148.33333333333326
43,-65.0,1252.3333333333333,187.33333333333326
44,-55.0,1475.0,217.0
45,-45.0,1596.3333333333333,245.33333333333326
46,-35.0,1726.0,285.0
47,-25.0,1885.6666666666667,375.66666666666674
48,-15.0,1854.3333333333333,310.33333333333326
49,-5.0,1903.0,343.0
50,5.0,1864.6666666666667,348.66666666666674
51,15.0,1743.6666666666667,364.66666666666674
52,25.0,1564.0,286.0
53,35.0,1454.3333333333333,284.33333333333326
54,45.0,1301.3333333333333,301.33333333333326
55,55.0,1074.6666666666667,285.33333333333326
56,65.0,898.3333333333334,241.66666666666663
57,75.0,724.3333333333334,190.66666666666663
58,85.0,561.3333333333334,151.66666666666663
59,95.0,418.3333333333333,119.66666666666669
60,105.0,311.3333333333333,115.66666666666669
61,115.0,236.66666666666666,108.33333333333334
62,125.0,163.33333333333334,58.66666666666666
63,135.0,103.66666666666667,36.33333333333333
64,145.0,79.66666666666667,41.33333333333333
65,155.0,49.0,24.0
66,165.0,34.333333333333336,11.666666666666664
67,175.0,29.333333333333332,18.666666666666668
68,185.0,26.666666666666668,7.666666666666668
69,195.0,21.333333333333332,2.666666666666668
70,205.0,21.666666666666668,2.666666666666668
71,215.0,19.666666666666668,7.333333333333332
72,225.0,27.666666666666668,3.333333333333332
73,235.0,23.333333333333332,10.666666666666668
74,245.0,22.333333333333332,3.333333333333332
75,255.0,26.0,5.0
76,265.0,23.0,2.0
77,275.0,28.0,5.0
78,285.0,34.0,1.0
79,295.0,27.333333333333332,1.6666666666666679
80,305.0,31.666666666666668,2.666666666666668
81,315.0,36.666666666666664,6.333333333333336
82,325.0,34.333333333333336,14.333333333333336
83,335.0,33.333333333333336,3.6666666666666643
84,345.0,39.666666666666664,3.6666666666666643
85,355.0,39.333333333333336,10.333333333333336
86,365.0,40.666666666666664,3.6666666666666643
87,375.0,47.333333333333336,4.333333333333336
88,385.0,43.666666666666664,11.333333333333336
89,395.0,41.0,4.0
90,405.0,45.666666666666664,5.333333333333336
91,415.0,47.333333333333336,10.666666666666664
92,425.0,49.666666666666664,0.6666666666666643
93,435.0,50.0,13.0
94,445.0,47.666666666666664,5.666666666666664
95,455.0,55.0,6.0
96,465.0,53.333333333333336,14.333333333333336
97,475.0,53.0,15.0
98,485.0,55.0,14.0
99,495.0,58.333333333333336,4.333333333333336
100,505.0,51.0,9.0
101,515.0,47.666666666666664,7.666666666666664
102,525.0,58.666666666666664,10.333333333333336
103,535.0,62.666666666666664,3.6666666666666643
104,545.0,66.33333333333333,16.33333333333333
105,555.0,54.0,7.0
106,565.0,54.666666666666664,4.666666666666664
107,575.0,63.0,5.0
108,585.0,54.333333333333336,4.666666666666664
109,595.0,71.0,7.0
110,605.0,70.33333333333333,6.666666666666671
111,615.0,61.333333333333336,11.333333333333336
112,625.0,64.0,8.0
113,635.0,66.66666666666667,4.666666666666671
114,645.0,70.33333333333333,14.666666666666671
115,655.0,66.66666666666667,10.666666666666671
116,665.0,67.0,3.0
117,675.0,64.33333333333333,15.666666666666671
118,685.0,67.66666666666667,10.666666666666671
119,695.0,61.0,9.0
120,705.0,69.33333333333333,5.666666666666671
121,715.0,64.66666666666667,3.3333333333333286
122,725.0,66.66666666666667,3.6666666666666714
123,735.0,70.66666666666667,2.6666666666666714
124,745.0,64.66666666666667,16.33333333333333
125,755.0,59.333333333333336,3.6666666666666643
126,765.0,69.66666666666667,3.3333333333333286
127,775.0,63.0,12.0
128,785.0,59.0,12.0
129,795.0,62.0,5.0
130,805.0,56.666666666666664,4.666666666666664
131,815.0,66.0,14.0
132,825.0,53.666666666666664,3.6666666666666643
133,835.0,63.0,9.0
134,845.0,55.666666666666664,1.6666666666666643
135,855.0,67.0,5.0
136,865.0,54.333333333333336,5.666666666666664
137,875.0,64.33333333333333,12.333333333333329
138,885.0,66.66666666666667,3.3333333333333286
139,895.0,62.666666666666664,10.333333333333336
140,905.0,61.666666666666664,10.666666666666664
141,915.0,54.666666666666664,15.333333333333336
142,925.0,50.666666666666664,16.666666666666664
143,935.0,59.666666666666664,9.666666666666664
144,945.0,53.666666666666664,16.333333333333336
145,955.0,56.333333333333336,20.666666666666664
146,965.0,63.0,10.0
147,975.0,59.333333333333336,7.666666666666664
148,985.0,58.333333333333336,5.333333333333336
149,995.0,54.0,7.0
150,1005.0,62.0,6.0
151,1015.0,65.66666666666667,15.333333333333329
152,1025.0,57.333333333333336,6.666666666666664
153,1035.0,66.33333333333333,5.333333333333329
154,1045.0,53.333333333333336,4.333333333333336
155,1055.0,56.333333333333336,1.6666666666666643
156,1065.0,58.666666666666664,10.333333333333336
157,1075.0,65.66666666666667,6.666666666666671
158,1085.0,53.0,6.0
159,1095.0,62.0,7.0
160,1105.0,65.0,13.0
161,1115.0,62.333333333333336,5.666666666666664
162,1125.0,60.666666666666664,8.333333333333336
163,1135.0,61.0,14.0
164,1145.0,67.66666666666667,10.333333333333329
165,1155.0,59.0,8.0
166,1165.0,58.666666666666664,8.666666666666664
167,1175.0,68.0,3.0
168,1185.0,65.0,10.0
169,1195.0,72.0,14.0
170,1205.0,69.0,6.0
171,1215.0,64.0,12.0
172,1225.0,76.66666666666667,6.333333333333329
173,1235.0,74.66666666666667,3.3333333333333286
174,1245.0,78.33333333333333,2.6666666666666714
175,1255.0,68.0,9.0
176,1265.0,68.33333333333333,10.333333333333329
177,1275.0,81.33333333333333,9.666666666666671
178,1285.0,75.66666666666667,14.333333333333329
179,1295.0,80.66666666666667,18.66666666666667
180,1305.0,81.0,11.0
181,1315.0,84.0,11.0
182,1325.0,76.66666666666667,7.333333333333329
183,1335.0,90.0,3.0
184,1345.0,70.33333333333333,4.333333333333329
185,1355.0,79.0,11.0
186,1365.0,76.0,8.0
187,1375.0,81.33333333333333,5.333333333333329
188,1385.0,87.0,4.0
189,1395.0,82.33333333333333,9.333333333333329
190,1405.0,80.0,9.0
191,1415.0,78.66666666666667,5.333333333333329
192,1425.0,81.33333333333333,4.666666666666671
193,1435.0,77.0,18.0
194,1445.0,75.0,6.0
195,1455.0,76.66666666666667,12.666666666666671
196,1465.0,67.0,8.0
197,1475.0,76.0,21.0
198,1485.0,69.66666666666667,3.6666666666666714
199,1495.0,71.66666666666667,8.333333333333329
200,1505.0,77.66666666666667,19.33333333333333
201,1515.0,68.33333333333333,8.333333333333329
202,1525.0,71.66666666666667,2.3333333333333286
